Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,uses
J0401,"Injection, aripiprazole, extended release, 1 mg",Abilify Maintena,Aripiprazole,"Extended-release aripiprazole injection is used to treat a mental/mood disorder called schizophrenia. This medication can decrease hallucinations (hearing/seeing things that are not there) and improve your concentration. It also helps you to think more clearly, feel less nervous, and take a more active part in everyday life. Some brands of this medication are also used to treat bipolar disorder. It can help to decrease extreme changes in mood and help you feel less agitated. Extended-release aripiprazole injection is a long-acting psychiatric medication known as an atypical antipsychotic. It works by helping to restore the balance of certain natural substances in the brain."
J0456,"Injection, azithromycin, 500 mg",Azithromycin*,Azithromycin*,"This medication is an antibiotic used to treat certain bacterial infections. This medication is known as a macrolide (erythromycin-type) antibiotic. It works by stopping the growth of bacteria. This medication is used to treat lung infections (pneumonia) or female pelvic infections (e.g., PID) caused by bacteria."
J0461,"Injection, atropine sulfate, 0.01 mg",Atropine Sulfate,Atropine Sulfate, 
J0475,"Injection, baclofen, 10 mg",Gablofen (J0475)*,Baclofen*,"Baclofen is used to treat muscle spasms caused by certain conditions (such as multiple sclerosis, cerebral palsy, spinal cord injury/disease). It works by helping to relax the muscles. Baclofen injection is used by patients who do not respond to or who cannot tolerate the side effects of baclofen taken by mouth."
J0476,"Injection, baclofen, 50 mcg for intrathecal trial",Gablofen (J0476)*,Baclofen*,"Baclofen is used to treat muscle spasms caused by certain conditions (such as multiple sclerosis, cerebral palsy, spinal cord injury/disease). It works by helping to relax the muscles. Baclofen injection is used by patients who do not respond to or who cannot tolerate the side effects of baclofen taken by mouth."
J0480,"Injection, basiliximab, 20 mg",Simulect,Basiliximab,"Basiliximab is used to prevent organ rejection in people who have received a kidney transplant. It is usually taken along with other medications (e.g., cyclosporine, corticosteroids) to allow your new organ to function normally. Basiliximab is an immunosuppressant drug known as a monoclonal antibody. It works by slowing down your body's defense system (immune system) to prevent your body from rejecting the new kidney after surgery (acute rejection)."
J0485,"Injection, belatacept, 1 mg",Nulojix,Belatacept,"Belatacept is used to help prevent organ rejection in people who have received a kidney transplant. It is used along with other medications (such as mycophenolate, corticosteroids) to allow your new organ to function normally. Belatacept belongs to a class of drugs known as immunosuppressants. It works by weakening your body's natural defense (immune system) to prevent your body from rejecting the new kidney."
J0490,"Injection, belimumab, 10 mg",Benlysta,Belimumab,"This medication is used to treat a certain type of lupus, systemic lupus erythematosus, in patients who are receiving other lupus medicines. It works by binding to a protein (found in high levels in patients with active lupus) in the blood and limiting the activity of the protein. It helps decrease the symptoms of lupus. Belimumab is a type of medication called a monoclonal antibody."
J0500,"Injection, dicyclomine hcl, up to 20 mg",Bentyl,Dicyclomine HCL, 
J0515,"Injection, benztropine mesylate, per 1 mg",Benztropine Mesylate*,Benztropine Mesylate*, 
J0558,"Injection, penicillin g benzathine and penicillin g procaine, 100,000 units",Bicillin C-R,Pen G Benz/Pen G Procaine,"This medication is used to treat a wide variety of bacterial infections. This medication is known as a long-acting natural penicillin antibiotic. It works by stopping the growth of bacteria. This medication should not be used to treat sexually transmitted diseases (e.g., syphilis, gonorrhea)."
J0561,"Injection, penicillin g benzathine, 100,000 units",Bicillin L-A,Penicillin G Benzathine,Penicillin G benzathine is used to treat a wide variety of bacterial infections. It may also be used to prevent certain bacterial infections (such as rheumatic fever). This medication is a long-acting penicillin antibiotic. It works by stopping the growth of bacteria.
J0583,"Injection, bivalirudin, 1 mg",Angiomax*,Bivalirudin*, 
J0585,"Injection, onabotulinumtoxina, 1 unit",Botox*,Onabotulinumtoxina*,"There are different types of botulinum toxin products (toxin A and B) with different uses (eye problems, muscle stiffness/spasms, migraines, cosmetic, overactive bladder). Different brands of this medication deliver different amounts of medication. Your doctor will choose the correct product for you. Botulinum toxin is used to treat certain eye disorders such as crossed eyes (strabismus) and uncontrolled blinking (blepharospasm), to treat muscle stiffness/spasms or movement disorders (such as cervical dystonia, torticollis), and to reduce the cosmetic appearance of wrinkles. It is also used to prevent headaches in people with very frequent migraines. Botulinum toxin relaxes muscle by blocking the release of a chemical called acetylcholine. Botulinum toxin is also used to treat overactive bladder by patients who do not respond to or who cannot tolerate the side effects of other medications. It helps to reduce leaking of urine, feeling of needing to urinate right away, and frequent trips to the bathroom. It is also used to treat severe underarm sweating. Botulinum toxin works by blocking the chemicals that turn on the sweat glands. Botulinum toxin is not a cure, and your symptoms will gradually return as the medication wears off."
J0586,"Injection, abobotulinumtoxina, 5 units",Dysport,Abobotulinumtoxina,"There are different types of botulinum toxin products (toxin A and B) with different uses (eye problems, muscle stiffness/spasms, migraines, cosmetic, overactive bladder). Different brands of this medication deliver different amounts of medication. Your doctor will choose the correct product for you. Botulinum toxin is used to treat certain eye disorders such as crossed eyes (strabismus) and uncontrolled blinking (blepharospasm), to treat muscle stiffness/spasms or movement disorders (such as cervical dystonia, torticollis), and to reduce the cosmetic appearance of wrinkles. It is also used to prevent headaches in people with very frequent migraines. Botulinum toxin relaxes muscle by blocking the release of a chemical called acetylcholine. Botulinum toxin is also used to treat overactive bladder by patients who do not respond to or who cannot tolerate the side effects of other medications. It helps to reduce leaking of urine, feeling of needing to urinate right away, and frequent trips to the bathroom. It is also used to treat severe underarm sweating. Botulinum toxin works by blocking the chemicals that turn on the sweat glands. Botulinum toxin is not a cure, and your symptoms will gradually return as the medication wears off."
J0587,"Injection, rimabotulinumtoxinb, 100 units",Myobloc,Rimabotulinumtoxinb,"There are different types of botulinum toxin products (toxin A and B) with different uses (eye problems, muscle stiffness/spasms, migraines, cosmetic, overactive bladder). Different brands of this medication deliver different amounts of medication. Your doctor will choose the correct product for you. Botulinum toxin is used to treat certain eye disorders such as crossed eyes (strabismus) and uncontrolled blinking (blepharospasm), to treat muscle stiffness/spasms or movement disorders (such as cervical dystonia, torticollis), and to reduce the cosmetic appearance of wrinkles. It is also used to prevent headaches in people with very frequent migraines. Botulinum toxin relaxes muscle by blocking the release of a chemical called acetylcholine. Botulinum toxin is also used to treat overactive bladder by patients who do not respond to or who cannot tolerate the side effects of other medications. It helps to reduce leaking of urine, feeling of needing to urinate right away, and frequent trips to the bathroom. It is also used to treat severe underarm sweating. Botulinum toxin works by blocking the chemicals that turn on the sweat glands. Botulinum toxin is not a cure, and your symptoms will gradually return as the medication wears off."
J0588,"Injection, incobotulinumtoxin a, 1 unit",Xeomin,Incobotulinumtoxina,"There are different types of botulinum toxin products (toxin A and B) with different uses (eye problems, muscle stiffness/spasms, migraines, cosmetic, overactive bladder). Different brands of this medication deliver different amounts of medication. Your doctor will choose the correct product for you. Botulinum toxin is used to treat certain eye disorders such as crossed eyes (strabismus) and uncontrolled blinking (blepharospasm), to treat muscle stiffness/spasms or movement disorders (such as cervical dystonia, torticollis), and to reduce the cosmetic appearance of wrinkles. It is also used to prevent headaches in people with very frequent migraines. Botulinum toxin relaxes muscle by blocking the release of a chemical called acetylcholine. Botulinum toxin is also used to treat overactive bladder by patients who do not respond to or who cannot tolerate the side effects of other medications. It helps to reduce leaking of urine, feeling of needing to urinate right away, and frequent trips to the bathroom. It is also used to treat severe underarm sweating. Botulinum toxin works by blocking the chemicals that turn on the sweat glands. Botulinum toxin is not a cure, and your symptoms will gradually return as the medication wears off."
J0592,"Injection, buprenorphine hydrochloride, 0.1 mg",Buprenorphine HCL,Buprenorphine HCL, 
J0594,"Injection, busulfan, 1 mg",Busulfan*,Busulfan*,Busulfan is used as a pretreatment for patients who are undergoing stem cell transplant for chronic myelogenous leukemia (CML).
J0595,"Injection, butorphanol tartrate, 1 mg",Butorphanol Tartrate,Butorphanol Tartrate, 
J0597,"Injection, c-1 esterase inhibitor (human), berinert, 10 units",Berinert,C1 Esterase Inhibitor,"This medication is used to treat the swelling problems that occur with a certain immune disease passed down through families (hereditary angioedema-HAE). HAE is caused by low levels or improper function of a natural substance produced by the body (C1-inhibitor). Symptoms such as rapid swelling of the hands, feet, limbs, face, tongue, or throat can occur. Swelling of the intestinal tract may cause symptoms such as abdominal cramps, diarrhea, or vomiting. Attacks of swelling may occur without reason. However, anxiety, stress, sickness, and surgery may trigger attacks in some people. This medication increases the level of C1-inhibitor to help treat attacks of sudden swelling due to hereditary angioedema."
J0598,"Injection, c-1 esterase inhibitor (human), cinryze, 10 units",Cinryze,C1 Esterase Inhibitor,"This medication is used to help prevent swelling problems that occur with a certain immune disease passed down through families (hereditary angioedema-HAE). HAE is caused by low levels or improper function of a natural substance produced by the body (C1-inhibitor). Symptoms such as rapid swelling of the hands, feet, limbs, face, tongue, or throat can occur. Swelling of the intestinal tract may cause symptoms such as abdominal cramps, diarrhea, or vomiting. Attacks of swelling may occur without reason. However, anxiety, stress, sickness, and surgery may trigger attacks in some people. This medication increases the level of C1-inhibitor to help prevent attacks of sudden swelling due to hereditary angioedema."
J0600,"Injection, edetate calcium disodium, up to 1000 mg",Calcium DIsodium Versenate,Edetate Calcium DIsodium, 
J0610,"Injection, calcium gluconate, per 10 ml",Calcium Gluconate,Calcium Gluconate, 
J0630,"Injection, calcitonin salmon, up to 400 units",Miacalcin,"Calcitonin,salmon,synthetic","This medication is used to treat certain bone problems (e.g., Paget's disease, postmenopausal osteoporosis) and to reduce high blood levels of calcium. Calcitonin is a man-made hormone that works by slowing bone loss and maintaining normal calcium levels in the blood. It may also help to reduce bone pain in people who have Paget's disease."
J0636,"Injection, calcitriol, 0.1 mcg",Calcitriol,Calcitriol,"Calcitriol is a man-made active form of vitamin D (vitamin D3). Vitamin D is a vitamin stored in the body that is needed for building and keeping strong bones. Calcitriol is used to treat or prevent certain problems that can happen with long-term kidney dialysis, such as low levels of calcium or high levels of parathyroid hormone. Calcitriol is usually used along with a certain diet, supplements, and sometimes other medications. Most people get enough vitamin D from exposure to the sun and from fortified food products (e.g., dairy products, vitamins). Before regular vitamin D can be used by the body, it needs to be changed to the active form by the liver and kidneys. People with kidney disease cannot make enough of the active form of vitamin D. This medication works by affecting parathyroid hormone (PTH) levels and increasing blood calcium levels."
J0637,"Injection, caspofungin acetate, 5 mg",Cancidas,Caspofungin Acetate,Caspofungin is used to treat a variety of fungal infections. Caspofungin belongs to a class of drugs known as echinocandins. It works by stopping the growth of fungi.
J0640,"Injection, leucovorin calcium, per 50 mg",Leucovorin Calcium,Leucovorin Calcium,"This medication is used to treat or prevent serious blood cell disorders (such as thrombocytopenia, neutropenia, anemia) caused by certain drugs (folic acid antagonists such as methotrexate, trimethoprim, pyrimethamine). It may also be used with a certain cancer drug (5-fluorouracil) to treat patients with colon cancer. Leucovorin may also be used to treat a certain type of anemia (due to folic acid deficiency) when folic acid cannot be taken by mouth."
J0641,"Injection, levoleucovorin calcium, 0.5 mg",Fusilev*,Levoleucovorin Calcium*,"This medication is used to treat or prevent serious blood cell disorders (such as thrombocytopenia, neutropenia, anemia) caused by certain drugs (folic acid antagonists such as methotrexate, trimethoprim, pyrimethamine). Some brands may also be used with a certain cancer drug (5-fluorouracil) to treat patients with colon cancer."
J0670,"Injection, mepivacaine hydrochloride, per 10 ml",Polocaine*,Mepivacaine HCL*, 
J0690,"Injection, cefazolin sodium, 500 mg",Cefazolin Sodium*,Cefazolin Sodium*,Cefazolin is an antibiotic used to treat a wide variety of bacterial infections. It may also be used before and during certain surgeries to help prevent infection. This medication is known as a cephalosporin antibiotic. It works by stopping the growth of bacteria.
J0692,"Injection, cefepime hydrochloride, 500 mg",Cefepime*,Cefepime In Iso-Osm Dextrose*,Cefepime is used to treat a wide variety of bacterial infections. This medication belongs to a class of drugs known as cephalosporin antibiotics. It works by stopping the growth of bacteria.
J0694,"Injection, cefoxitin sodium, 1 gm",Cefoxitin*,Cefoxitin Sodium*,Cefoxitin is an antibiotic used to treat a wide variety of bacterial infections. It may also be used before and during certain surgeries to help prevent infection. This medication is known as a cephalosporin antibiotic. It works by stopping the growth of bacteria.
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone*,Ceftriaxone In Is-Osm Dextrose*,Ceftriaxone is used to treat a wide variety of bacterial infections. This medication belongs to a class of drugs known as cephalosporin antibiotics. It works by stopping the growth of bacteria. This drug is not recommended for use in newborns with high blood bilirubin levels and premature infants due to increased risk of side effects. Ask the doctor or pharmacist for details.
J0697,"Injection, sterile cefuroxime sodium, per 750 mg",Cefuroxime Sodium*,Cefuroxime Sodium*,Cefuroxime is used to treat a wide variety of bacterial infections. It may also be used to prevent infection from certain surgeries. This medication belongs to a class of drugs known as cephalosporin antibiotics. It works by stopping the growth of bacteria.
J0702,"Injection, betamethasone acetate 3 mg and betamethasone sodium phosphate 3 mg",Betamethasone Acetate-Sod Phos*,"Betamethasone Acetate,sod Phos*", 
J0712,"Injection, ceftaroline fosamil, 10 mg",Teflaro,Ceftaroline Fosamil Acetate,Ceftaroline is an antibiotic used to treat a variety of bacterial infections. This medication is known as a cephalosporin antibiotic. It works by stopping the growth of bacteria.
J0713,"Injection, ceftazidime, per 500 mg",Ceftazidime*,Ceftazidime*,Ceftazidime is used to treat a wide variety of bacterial infections. This medication belongs to a class of drugs known as cephalosporin antibiotics. It works by stopping the growth of bacteria.
J0717,"Injection, certolizumab pegol, 1 mg",Cimzia,Certolizumab Pegol,"This medication is used to reduce pain and swelling due to certain inflammatory conditions (such as rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis). Some brands may also be used to treat a bowel condition called Crohn's disease when it has not improved with other drugs. Certolizumab belongs to a class of drugs known as tumor necrosis factor (TNF) blockers. It works by blocking TNF, a substance made by the body that causes inflammation."
J0720,"Injection, chloramphenicol sodium succinate, up to 1 gm",Chloramphenicol Sod Succinate,Chloramphenicol Sod Succinate, 
J0725,"Injection, chorionic gonadotropin, per 1,000 usp units",Chorionic Gonadotropin*,"Chorionic Gonadotropin, Human*","This medication is a hormone used in boys (before puberty) to cause the normal dropping of the testicles into the scrotum. It is also used in certain boys to help with normal sexual development. It works by causing the testes to release male sex hormones (e.g., testosterone). This medication is also used in women to treat fertility problems. It is given after finishing another medication (menotropins) to cause the release of an egg (ovulation). It should not be used in women whose ovaries no longer make eggs properly (primary ovarian failure). This medication has not been shown to be effective for weight loss and should not be used for this purpose due to risk of serious side effects."
J0735,"Injection, clonidine hydrochloride, 1 mg",Clonidine HCL*,Clonidine HCL/PF*, 
J0740,"Injection, cidofovir, 375 mg",Cidofovir,Cidofovir,"This drug is used with probenecid to treat a certain viral eye infection (retinitis due to cytomegalovirus-CMV) in people with AIDS. It lowers your risk of blindness and other vision problems. Cidofovir belongs to a class of drugs known as antivirals. It works by stopping the growth of the virus. Cidofovir is not a cure for CMV retinitis, and your disease may still worsen during and after treatment."
J0743,"Injection, cilastatin sodium; imipenem, per 250 mg",Imipenem-Cilastatin Sodium*,Imipenem/Cilastatin Sodium*,This medication is used to treat a wide variety of bacterial infections. This medication is known as a carbapenem-type antibiotic. It works by stopping the growth of bacteria.
J0744,"Injection, ciprofloxacin for intravenous infusion, 200 mg",Cipro I.V.*,Ciprofloxacin In 5 % Dextrose*,This medication is used to treat a variety of bacterial infections. Ciprofloxacin belongs to a class of drugs called quinolone antibiotics. It works by stopping the growth of bacteria.
J0770,"Injection, colistimethate sodium, up to 150 mg",Colistimethate*,Colistin (Colistimethate Na)*,Colistimethate is an antibiotic used to treat certain bacterial infections. It works by stopping the growth of bacteria.
J0775,"Injection, collagenase, clostridium histolyticum, 0.01 mg",Xiaflex,Collagenase Clostridium Hist.,"This medication is used to treat certain conditions (Dupuytren's contracture, Peyronie's disease) that are caused by a certain protein (collagen) in your body. Collagen is a tough and strong substance and is found in the knots/cords of the hand in Dupuytren's contracture or plaques in the penis in Peyronie's disease. Collagenase is a substance (enzyme) that breaks down the collagen in these knots/cords/plaques."
J0780,"Injection, prochlorperazine, up to 10 mg",Prochlorperazine Edisylate,Prochlorperazine Edisylate, 
